timestamp,imsi,ue_ip,dl_throughput_mbps,ul_throughput_mbps,latency_ms,packet_loss_pct,rsrp_dbm,sinr_db,session_state
2026-04-13T10:00:00Z,999700000000001,10.45.0.16,45.1,12.2,7.8,0.00,-82,18.3,ACTIVE
2026-04-13T10:00:00Z,999700000000002,10.45.0.17,41.3,10.8,8.1,0.01,-85,16.1,ACTIVE
2026-04-13T10:00:00Z,999700000000003,10.45.0.18,44.0,11.5,8.0,0.00,-80,19.4,ACTIVE
2026-04-13T10:00:00Z,999700000000004,10.45.0.19,38.7,9.9,9.2,0.02,-88,14.7,ACTIVE
2026-04-13T10:00:00Z,999700000000005,10.45.0.20,43.5,12.1,7.9,0.00,-83,17.8,ACTIVE
2026-04-13T10:00:00Z,999700000000006,10.45.0.21,40.2,10.3,8.5,0.01,-86,15.5,ACTIVE
2026-04-13T10:00:00Z,999700000000007,10.45.0.22,46.8,13.0,7.4,0.00,-79,20.1,ACTIVE
2026-04-13T10:00:00Z,999700000000008,10.45.0.23,39.4,10.1,8.9,0.01,-87,14.9,ACTIVE
2026-04-13T10:00:00Z,999700000000009,10.45.0.24,42.1,11.7,8.2,0.00,-84,17.2,ACTIVE
2026-04-13T10:00:00Z,999700000000010,10.45.0.25,44.9,11.9,7.7,0.00,-81,18.6,ACTIVE
2026-04-13T10:00:05Z,999700000000001,10.45.0.16,44.8,12.0,7.9,0.00,-82,18.1,ACTIVE
2026-04-13T10:00:05Z,999700000000002,10.45.0.17,42.1,11.1,8.0,0.00,-85,16.4,ACTIVE
2026-04-13T10:00:05Z,999700000000003,10.45.0.18,43.7,11.3,8.1,0.01,-80,19.2,ACTIVE
2026-04-13T10:00:05Z,999700000000004,10.45.0.19,39.2,10.1,9.0,0.01,-88,14.9,ACTIVE
2026-04-13T10:00:05Z,999700000000005,10.45.0.20,44.0,12.3,7.8,0.00,-83,17.9,ACTIVE
2026-04-13T10:00:05Z,999700000000006,10.45.0.21,40.8,10.5,8.4,0.00,-86,15.7,ACTIVE
2026-04-13T10:00:05Z,999700000000007,10.45.0.22,47.1,13.2,7.3,0.00,-79,20.3,ACTIVE
2026-04-13T10:00:05Z,999700000000008,10.45.0.23,38.9,9.9,9.1,0.02,-87,14.6,ACTIVE
2026-04-13T10:00:05Z,999700000000009,10.45.0.24,41.8,11.5,8.3,0.01,-84,17.0,ACTIVE
2026-04-13T10:00:05Z,999700000000010,10.45.0.25,45.2,12.1,7.6,0.00,-81,18.8,ACTIVE
